page,category,host,kind,rep,first_arm,width,control_bytes,ablated_bytes,own_bytes,diff_bytes,n_aborted
https://imgur.com/,social,btloader.com,ablation,0,control,page,4283183,4229375,36586,17222,2
https://imgur.com/,social,btloader.com,ablation,0,control,third_party,1977730,1923915,36586,17229,2
https://imgur.com/,social,btloader.com,ablation,0,control,listed,635111,582386,36586,16139,2
https://imgur.com/,social,btloader.com,ablation,1,ablated,page,4286105,4234935,36528,14642,2
https://imgur.com/,social,btloader.com,ablation,1,ablated,third_party,1981115,1929490,36528,15097,2
https://imgur.com/,social,btloader.com,ablation,1,ablated,listed,633342,582580,36528,14234,2
https://imgur.com/,social,_JOINT,joint,0,control,page,4282342,3948472,342082,-8212,5
https://imgur.com/,social,_JOINT,joint,0,control,third_party,1977340,1643298,342082,-8040,5
https://imgur.com/,social,_JOINT,joint,0,control,listed,634748,597981,342082,-305315,5
https://imgur.com/,social,_JOINT,joint,1,ablated,page,4287310,4005662,341831,-60183,5
https://imgur.com/,social,_JOINT,joint,1,ablated,third_party,1982316,1700651,341831,-60166,5
https://imgur.com/,social,_JOINT,joint,1,ablated,listed,634622,524193,341831,-231402,5
https://livejournal.com/,social,yandex.ru,ablation,0,control,page,3200789,2638503,220677,341609,3
https://livejournal.com/,social,yandex.ru,ablation,0,control,third_party,2784552,2223265,220677,340610,3
https://livejournal.com/,social,yandex.ru,ablation,0,control,listed,641263,420805,220677,-219,3
https://livejournal.com/,social,yandex.ru,ablation,1,ablated,page,3179366,2640801,222734,315831,3
https://livejournal.com/,social,yandex.ru,ablation,1,ablated,third_party,2763226,2225247,222734,315245,3
https://livejournal.com/,social,yandex.ru,ablation,1,ablated,listed,638829,421696,222734,-5601,3
https://livejournal.com/,social,ssp.rambler.ru,ablation,0,control,page,3357398,2418260,107676,831462,2
https://livejournal.com/,social,ssp.rambler.ru,ablation,0,control,third_party,2941158,2002745,107676,830737,2
https://livejournal.com/,social,ssp.rambler.ru,ablation,0,control,listed,669149,246043,107676,315430,2
https://livejournal.com/,social,ssp.rambler.ru,ablation,1,ablated,page,3203875,2418016,107676,678183,2
https://livejournal.com/,social,ssp.rambler.ru,ablation,1,ablated,third_party,2787636,2002708,107676,677252,2
https://livejournal.com/,social,ssp.rambler.ru,ablation,1,ablated,listed,644819,245697,107676,291446,2
https://livejournal.com/,social,mc.webvisor.org,ablation,0,control,page,3261807,3125860,92220,43727,1
https://livejournal.com/,social,mc.webvisor.org,ablation,0,control,third_party,2845608,2709659,92220,43729,1
https://livejournal.com/,social,mc.webvisor.org,ablation,0,control,listed,654993,557993,92220,4780,1
https://livejournal.com/,social,mc.webvisor.org,ablation,1,ablated,page,3135235,3114231,92220,-71216,1
https://livejournal.com/,social,mc.webvisor.org,ablation,1,ablated,third_party,2719096,2697987,92220,-71111,1
https://livejournal.com/,social,mc.webvisor.org,ablation,1,ablated,listed,610463,554054,92220,-35811,1
https://livejournal.com/,social,_JOINT,joint,0,control,page,3217616,2311699,429496,476421,3
https://livejournal.com/,social,_JOINT,joint,0,control,third_party,2801454,1896327,429496,475631,3
https://livejournal.com/,social,_JOINT,joint,0,control,listed,652254,141031,429496,81727,3
https://livejournal.com/,social,_JOINT,joint,1,ablated,page,3200961,2314370,420772,465819,3
https://livejournal.com/,social,_JOINT,joint,1,ablated,third_party,2784913,1899091,420772,465050,3
https://livejournal.com/,social,_JOINT,joint,1,ablated,listed,640153,142317,420772,77064,3
https://mlb.com/,news,analytics.tiktok.com,ablation,0,control,page,61576571,95442542,679982,-34545953,5
https://mlb.com/,news,analytics.tiktok.com,ablation,0,control,third_party,23039316,22343330,679982,16004,5
https://mlb.com/,news,analytics.tiktok.com,ablation,0,control,listed,2883390,2191808,679982,11600,5
https://mlb.com/,news,analytics.tiktok.com,ablation,1,ablated,page,96319078,73945237,680563,21693278,5
https://mlb.com/,news,analytics.tiktok.com,ablation,1,ablated,third_party,23104924,22507070,680563,-82709,5
https://mlb.com/,news,analytics.tiktok.com,ablation,1,ablated,listed,2792819,2191794,680563,-79538,5
https://mlb.com/,news,pagead2.googlesyndication.com,ablation,0,control,page,70320294,86758687,505543,-16943936,14
https://mlb.com/,news,pagead2.googlesyndication.com,ablation,0,control,third_party,23191189,22170085,505543,515561,14
https://mlb.com/,news,pagead2.googlesyndication.com,ablation,0,control,listed,2875451,2083250,505543,286658,14
https://mlb.com/,news,pagead2.googlesyndication.com,ablation,1,ablated,page,96245519,94034378,505440,1705701,16
https://mlb.com/,news,pagead2.googlesyndication.com,ablation,1,ablated,third_party,23031178,22387385,505440,138353,16
https://mlb.com/,news,pagead2.googlesyndication.com,ablation,1,ablated,listed,2870121,2082654,505440,282027,16
https://mlb.com/,news,connect.facebook.net,ablation,0,control,page,87951829,25410321,290892,62250616,1
https://mlb.com/,news,connect.facebook.net,ablation,0,control,third_party,23368503,23478915,290892,-401304,1
https://mlb.com/,news,connect.facebook.net,ablation,0,control,listed,2837335,2534555,290892,11888,1
https://mlb.com/,news,connect.facebook.net,ablation,1,ablated,page,34193333,78511771,291230,-44609668,1
https://mlb.com/,news,connect.facebook.net,ablation,1,ablated,third_party,23409025,22660002,291230,457793,1
https://mlb.com/,news,connect.facebook.net,ablation,1,ablated,listed,2876851,2503387,291230,82234,1
https://mlb.com/,news,_JOINT,joint,0,control,page,91954239,92836826,1486251,-2368838,20
https://mlb.com/,news,_JOINT,joint,0,control,third_party,23109833,21076368,1486251,547214,20
https://mlb.com/,news,_JOINT,joint,0,control,listed,2793007,1109765,1486251,196991,20
